=== Compilando lcs_mpi ===
make: Nothing to be done for 'paralelo'.
[18:11:28] teste_10000A vs teste_10000B
[18:12:40] teste_10000A vs teste_20000B
[18:14:50] teste_10000A vs teste_30000B
[18:17:47] teste_10000A vs teste_40000B
[18:21:52] teste_10000A vs teste_50000B
[18:26:43] teste_10000A vs teste_60000B
[18:32:38] teste_10000A vs teste_70000B
[18:38:14] teste_20000A vs teste_10000B
[18:39:58] teste_20000A vs teste_20000B
[18:43:09] teste_20000A vs teste_30000B
[18:47:38] teste_20000A vs teste_40000B
[18:53:34] teste_20000A vs teste_50000B
[19:00:50] teste_20000A vs teste_60000B
[19:09:33] teste_20000A vs teste_70000B
[19:18:10] teste_30000A vs teste_10000B
[19:20:17] teste_30000A vs teste_20000B
[19:24:11] teste_30000A vs teste_30000B
[19:29:54] teste_30000A vs teste_40000B
[19:37:31] teste_30000A vs teste_50000B
[19:46:51] teste_30000A vs teste_60000B
[19:57:58] teste_30000A vs teste_70000B
[20:09:30] teste_40000A vs teste_10000B
[20:12:09] teste_40000A vs teste_20000B
[20:16:50] teste_40000A vs teste_30000B
[20:23:49] teste_40000A vs teste_40000B
[20:33:02] teste_40000A vs teste_50000B
[20:44:31] teste_40000A vs teste_60000B
[20:58:07] teste_40000A vs teste_70000B
[21:11:42] teste_50000A vs teste_10000B
[21:17:23] teste_50000A vs teste_20000B
[21:28:20] teste_50000A vs teste_30000B
[21:44:06] teste_50000A vs teste_40000B
[22:12:32] teste_50000A vs teste_50000B
[22:38:52] teste_50000A vs teste_60000B
[23:10:10] teste_50000A vs teste_70000B
[23:41:22] teste_60000A vs teste_10000B
[23:47:42] teste_60000A vs teste_20000B
[23:59:59] teste_60000A vs teste_30000B
[00:18:12] teste_60000A vs teste_40000B
[00:42:30] teste_60000A vs teste_50000B
[01:12:50] teste_60000A vs teste_60000B
[01:51:58] teste_60000A vs teste_70000B
[02:28:11] teste_70000A vs teste_10000B
[02:34:22] teste_70000A vs teste_20000B
[02:46:19] teste_70000A vs teste_30000B
[03:04:50] teste_70000A vs teste_40000B
[03:29:44] teste_70000A vs teste_50000B
[04:00:17] teste_70000A vs teste_60000B
slurmstepd-node0: error: *** JOB 1313 ON node0 CANCELLED AT 2025-06-17T04:11:42 DUE TO TIME LIMIT ***
