Arquivos gerados: teste_1000_2500A.in e teste_1000_2500B.in
[TESTE] A=1000 | B=2500 | threads=1 | schedule=static | chunk=64
[TESTE] A=1000 | B=2500 | threads=1 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=2500 | threads=1 | schedule=guided | chunk=64
[TESTE] A=1000 | B=2500 | threads=1 | schedule=static | chunk=128
[TESTE] A=1000 | B=2500 | threads=1 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=2500 | threads=1 | schedule=guided | chunk=128
[TESTE] A=1000 | B=2500 | threads=2 | schedule=static | chunk=64
[TESTE] A=1000 | B=2500 | threads=2 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=2500 | threads=2 | schedule=guided | chunk=64
[TESTE] A=1000 | B=2500 | threads=2 | schedule=static | chunk=128
[TESTE] A=1000 | B=2500 | threads=2 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=2500 | threads=2 | schedule=guided | chunk=128
[TESTE] A=1000 | B=2500 | threads=4 | schedule=static | chunk=64
[TESTE] A=1000 | B=2500 | threads=4 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=2500 | threads=4 | schedule=guided | chunk=64
[TESTE] A=1000 | B=2500 | threads=4 | schedule=static | chunk=128
[TESTE] A=1000 | B=2500 | threads=4 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=2500 | threads=4 | schedule=guided | chunk=128
[TESTE] A=1000 | B=2500 | threads=8 | schedule=static | chunk=64
[TESTE] A=1000 | B=2500 | threads=8 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=2500 | threads=8 | schedule=guided | chunk=64
[TESTE] A=1000 | B=2500 | threads=8 | schedule=static | chunk=128
[TESTE] A=1000 | B=2500 | threads=8 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=2500 | threads=8 | schedule=guided | chunk=128
Arquivos gerados: teste_1000_5000A.in e teste_1000_5000B.in
[TESTE] A=1000 | B=5000 | threads=1 | schedule=static | chunk=64
[TESTE] A=1000 | B=5000 | threads=1 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=5000 | threads=1 | schedule=guided | chunk=64
[TESTE] A=1000 | B=5000 | threads=1 | schedule=static | chunk=128
[TESTE] A=1000 | B=5000 | threads=1 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=5000 | threads=1 | schedule=guided | chunk=128
[TESTE] A=1000 | B=5000 | threads=2 | schedule=static | chunk=64
[TESTE] A=1000 | B=5000 | threads=2 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=5000 | threads=2 | schedule=guided | chunk=64
[TESTE] A=1000 | B=5000 | threads=2 | schedule=static | chunk=128
[TESTE] A=1000 | B=5000 | threads=2 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=5000 | threads=2 | schedule=guided | chunk=128
[TESTE] A=1000 | B=5000 | threads=4 | schedule=static | chunk=64
[TESTE] A=1000 | B=5000 | threads=4 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=5000 | threads=4 | schedule=guided | chunk=64
[TESTE] A=1000 | B=5000 | threads=4 | schedule=static | chunk=128
[TESTE] A=1000 | B=5000 | threads=4 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=5000 | threads=4 | schedule=guided | chunk=128
[TESTE] A=1000 | B=5000 | threads=8 | schedule=static | chunk=64
[TESTE] A=1000 | B=5000 | threads=8 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=5000 | threads=8 | schedule=guided | chunk=64
[TESTE] A=1000 | B=5000 | threads=8 | schedule=static | chunk=128
[TESTE] A=1000 | B=5000 | threads=8 | schedule=dynamic | chunk=128
[TESTE] A=1000 | B=5000 | threads=8 | schedule=guided | chunk=128
Arquivos gerados: teste_1000_7500A.in e teste_1000_7500B.in
[TESTE] A=1000 | B=7500 | threads=1 | schedule=static | chunk=64
[TESTE] A=1000 | B=7500 | threads=1 | schedule=dynamic | chunk=64
[TESTE] A=1000 | B=7500 | threads=1 | schedule=guided | chunk=64
[TESTE] A=1000 | B=7500 | threads=1 | schedule=static | chunk=128
